id,car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
1785,maruti zen estilo,2011,petrol,39300,206999,new delhi,586,hatchback,manual,lxi,TRUE,new delhi,delhi,TRUE,dl4c,inperson_sale,maruti,zen estilo,in_stock,2,172659,,good,2021,TRUE,4808,31050,FALSE,FALSE
1786,hyundai xcent,2014,diesel,57598,320399,new delhi,1267,sedan,manual,s 1.1 crdi,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,hyundai,xcent,in_stock,1,271000,,great,2021,TRUE,7442,48060,FALSE,FALSE
1787,maruti alto,2009,petrol,46177,137699,new delhi,1762,hatchback,manual,lxi,TRUE,new delhi,delhi,TRUE,dl9c,inperson_sale,maruti,alto,in_stock,1,123573,,good,2021,TRUE,3198,20655,FALSE,FALSE
1788,mahindra xuv500,2015,diesel,47357,739699,new delhi,920,luxury suv,manual,w8 fwd,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,mahindra,xuv500,in_stock,2,738341,888632,great,2021,TRUE,17181,110955,FALSE,FALSE
1789,maruti vitara brezza,2017,diesel,39891,601299,new delhi,3491,suv,manual,vdi opt,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,maruti,vitara brezza,in_stock,3,610842,616842,great,2021,TRUE,13967,90195,FALSE,FALSE
1790,hyundai i10,2009,petrol,35305,200899,new delhi,718,hatchback,manual,magna 1.2,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,hyundai,i10,in_stock,1,166976,,good,2021,TRUE,4666,30135,FALSE,FALSE
1791,maruti swift dzire,2012,diesel,95472,295099,new delhi,858,sedan,manual,vdi bs iv,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift dzire,in_stock,1,270000,349740,great,2021,TRUE,6854,44265,FALSE,FALSE
1792,maruti baleno,2016,diesel,43702,500499,new delhi,1210,hatchback,manual,delta ddis 190,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,baleno,in_stock,1,500220,608516,great,2020,TRUE,11625,75075,FALSE,TRUE
1793,maruti vitara brezza,2016,diesel,42210,655399,new delhi,1031,suv,manual,zdi,TRUE,delhi,delhi,TRUE,dl6c,inperson_sale,maruti,vitara brezza,in_stock,2,686775,693275,great,2021,TRUE,15223,98310,FALSE,FALSE
1794,maruti swift dzire,2015,diesel,69039,434799,new delhi,844,sedan,manual,vdi bs iv,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift dzire,in_stock,1,411311,,great,2021,TRUE,10099,65220,FALSE,FALSE
1795,maruti swift,2015,diesel,63642,401199,new delhi,1271,hatchback,manual,vdi abs,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift,in_stock,1,404900,411400,great,2021,TRUE,9319,60180,FALSE,FALSE
1796,maruti swift dzire,2012,diesel,68930,312499,new delhi,928,sedan,manual,vdi bs iv,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift dzire,in_stock,1,288000,371700,great,2020,TRUE,7259,46875,FALSE,FALSE
1797,hyundai verna,2013,petrol,82296,476099,new delhi,1979,sedan,manual,fluidic 1.6 sx vtvt opt,TRUE,new delhi,delhi,TRUE,dl2c,inperson_sale,hyundai,verna,in_stock,2,481395,487895,great,2021,TRUE,11059,71415,FALSE,FALSE
1798,maruti swift,2014,diesel,64031,411299,new delhi,937,hatchback,manual,vdi,TRUE,faridabad,haryana,TRUE,hr29,inperson_sale,maruti,swift,in_stock,1,370157,455816,great,2021,TRUE,9553,61695,FALSE,FALSE
1799,hyundai i10,2012,petrol,44269,272999,new delhi,1313,hatchback,manual,magna 1.2 kappa2,TRUE,delhi,delhi,TRUE,dl10,inperson_sale,hyundai,i10,in_stock,1,192785,,good,2021,TRUE,6341,40950,FALSE,FALSE
1800,tata tiago,2016,petrol,68510,346999,new delhi,2776,hatchback,manual,xt 1.2 revotron,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,tata,tiago,in_stock,1,313753,,great,2021,TRUE,8060,52050,FALSE,FALSE
1801,hyundai grand i10,2013,petrol,66769,311699,new delhi,1608,hatchback,manual,sports 1.2 vtvt,FALSE,delhi,delhi,TRUE,dl8c,inperson_sale,hyundai,grand i10,in_stock,1,293868,,great,2021,TRUE,7240,46755,FALSE,FALSE
1802,renault kwid,2016,petrol,27806,270399,new delhi,2118,hatchback,manual,rxt,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,renault,kwid,in_stock,2,223539,293049,good,2021,TRUE,6281,40560,FALSE,FALSE
1803,maruti s cross,2015,diesel,62123,563899,new delhi,270,suv,manual,alpha 1.3,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,maruti,s cross,in_stock,1,545188,570099,great,2021,TRUE,13098,84585,FALSE,FALSE
1804,maruti swift dzire,2009,petrol,48058,222499,new delhi,917,sedan,manual,vxi,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,swift dzire,in_stock,1,200672,230599,good,2021,TRUE,5168,33375,FALSE,FALSE
1805,maruti vitara brezza,2019,diesel,32575,739599,new delhi,2436,suv,manual,vdi,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,vitara brezza,in_stock,1,782804,789304,great,2021,TRUE,17179,110940,FALSE,FALSE
1806,maruti vitara brezza,2016,diesel,58586,572299,new delhi,3166,suv,manual,vdi opt,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,vitara brezza,in_stock,1,549585,689265,great,2020,TRUE,13293,85845,FALSE,FALSE
1807,maruti celerio,2015,petrol,64935,360199,new delhi,202,hatchback,automatic,vxi amt,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,celerio,in_stock,1,293808,362899,great,2021,TRUE,8367,54030,FALSE,FALSE
1808,maruti a star,2009,petrol,73461,166199,new delhi,2190,hatchback,manual,vxi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,a star,in_stock,1,154000,,great,2021,TRUE,3860,24930,FALSE,FALSE
1809,maruti vitara brezza,2019,diesel,17555,869399,new delhi,271,suv,manual,vdi,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,maruti,vitara brezza,in_stock,1,852488,,great,2021,TRUE,20194,130410,FALSE,FALSE
1810,maruti swift dzire,2012,diesel,72105,374999,new delhi,602,sedan,manual,zdi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift dzire,in_stock,1,375886,478902,great,2020,TRUE,8710,56250,FALSE,FALSE
1811,maruti baleno,2016,petrol,52934,510899,new delhi,1615,hatchback,,zeta 1.2 k12 cvt,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,maruti,baleno,in_stock,1,524883,638879,great,2021,TRUE,11867,76635,FALSE,FALSE
1812,toyota etios liva,2013,diesel,67401,311399,new delhi,782,hatchback,manual,gd,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,toyota,etios liva,in_stock,1,280000,361940,great,2020,TRUE,7233,46710,FALSE,FALSE
1813,hyundai eon,2014,petrol,40902,227499,new delhi,482,hatchback,manual,era plus,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,hyundai,eon,in_stock,2,197055,,good,2021,TRUE,5284,34125,FALSE,FALSE
1814,maruti swift dzire,2013,diesel,69171,347199,new delhi,878,sedan,manual,vdi,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,maruti,swift dzire,in_stock,1,361008,347999,great,2021,TRUE,8065,52080,FALSE,FALSE
1815,honda city,2020,petrol,15981,1074335,new delhi,3081,sedan,,v cvt,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,honda,city,in_stock,1,1062500,,great,2021,TRUE,24954,161151,FALSE,FALSE
1816,maruti swift dzire,2012,diesel,75435,307699,new delhi,595,sedan,manual,vdi bs iv,TRUE,delhi,delhi,TRUE,dl4c,inperson_sale,maruti,swift dzire,in_stock,1,310338,316838,great,2021,TRUE,7147,46155,FALSE,FALSE
1817,maruti alto 800,2013,petrol,41465,231299,new delhi,420,hatchback,manual,lxi,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,maruti,alto 800,in_stock,1,198949,,good,2021,TRUE,5372,34695,FALSE,FALSE
1818,renault kwid,2016,petrol,44010,253999,new delhi,1898,hatchback,manual,1.0 rxt,FALSE,delhi,delhi,TRUE,dl1c,inperson_sale,renault,kwid,in_stock,1,224609,,great,2021,TRUE,5900,38100,FALSE,FALSE
1819,maruti vitara brezza,2017,diesel,36073,754799,new delhi,1275,suv,manual,zdi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,vitara brezza,in_stock,1,788000,794500,great,2021,TRUE,17532,113220,FALSE,FALSE
1820,maruti baleno,2017,petrol,82917,458399,new delhi,732,hatchback,manual,delta 1.2 k12,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,maruti,baleno,in_stock,1,457045,472099,great,2021,TRUE,10647,68760,FALSE,FALSE
1821,hyundai elite i20,2015,petrol,61227,444299,new delhi,1779,hatchback,manual,magna 1.2,TRUE,gurgaon,haryana,TRUE,hr76,inperson_sale,hyundai,elite i20,in_stock,1,416000,,great,2021,TRUE,10320,66645,FALSE,FALSE
1822,maruti swift dzire,2013,diesel,62602,345799,new delhi,558,sedan,manual,vdi bs iv,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,maruti,swift dzire,in_stock,1,339063,433983,great,2021,TRUE,8032,51870,FALSE,FALSE
1823,maruti vitara brezza,2016,diesel,52703,630599,new delhi,1573,suv,manual,zdi plus,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,vitara brezza,in_stock,1,618854,,great,2021,TRUE,14647,94590,FALSE,FALSE
1824,maruti swift dzire,2011,petrol,60489,269199,new delhi,1867,sedan,manual,vxi 1.2 bs iv,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,maruti,swift dzire,in_stock,1,216200,,good,2021,TRUE,6253,40380,FALSE,FALSE
1825,hyundai creta,2015,petrol,58072,738899,new delhi,1441,suv,manual,1.6 s,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,hyundai,creta,in_stock,1,755065,756565,great,2021,TRUE,17163,110835,FALSE,FALSE
1826,hyundai grand i10,2014,petrol,64201,367199,new delhi,484,hatchback,manual,sportz 1.2 kappa vtvt,TRUE,new delhi,delhi,TRUE,dl8c,inperson_sale,hyundai,grand i10,in_stock,1,366000,372500,great,2021,TRUE,8529,55080,FALSE,FALSE
1827,hyundai creta,2015,petrol,24519,783299,new delhi,4623,suv,manual,1.6 s,TRUE,delhi,delhi,TRUE,dl7c,inperson_sale,hyundai,creta,in_stock,2,799930,806430,great,2021,TRUE,18194,117495,FALSE,FALSE
1828,maruti swift,2012,diesel,115605,291599,new delhi,619,hatchback,manual,vdi,TRUE,new delhi,delhi,TRUE,dl13,inperson_sale,maruti,swift,in_stock,1,283701,,great,2021,TRUE,6773,43740,FALSE,FALSE
1829,hyundai elite i20,2015,petrol,56205,476499,new delhi,2334,hatchback,manual,asta 1.2,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,hyundai,elite i20,in_stock,1,475000,574170,great,2021,TRUE,11068,71475,FALSE,FALSE
1830,maruti swift dzire,2008,petrol,110793,169899,new delhi,5285,sedan,manual,vxi 1.3,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,swift dzire,in_stock,1,172593,177199,great,2021,TRUE,3946,25485,FALSE,FALSE
1831,hyundai creta,2018,petrol,20241,1296131,new delhi,3215,suv,,1.6 sx at petrol,TRUE,delhi,delhi,TRUE,dl12,inperson_sale,hyundai,creta,in_stock,1,1336154,1342654,great,2021,TRUE,30106,194420,FALSE,FALSE
1832,hyundai i10,2010,petrol,35644,292699,new delhi,525,hatchback,manual,sportz 1.2 kappa2,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,hyundai,i10,in_stock,1,248673,311247,good,2021,TRUE,6799,43905,FALSE,FALSE
1833,renault kwid,2016,petrol,71565,259699,new delhi,1352,hatchback,manual,rxl,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,renault,kwid,in_stock,1,209096,264146,good,2021,TRUE,6032,38955,FALSE,FALSE
1834,maruti celerio,2015,diesel,73484,248899,new delhi,2488,hatchback,manual,vdi,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,celerio,in_stock,2,256200,332904,great,2021,TRUE,5781,37335,FALSE,FALSE
1835,hyundai grand i10,2016,petrol,73912,404499,new delhi,368,hatchback,manual,sportz 1.2 kappa vtvt,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,hyundai,grand i10,in_stock,1,364324,,great,2021,TRUE,9395,60675,FALSE,FALSE
1836,maruti swift dzire,2014,petrol,71085,374899,new delhi,875,sedan,manual,vxi 1.2 bs iv,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,maruti,swift dzire,in_stock,1,363526,,great,2021,TRUE,8708,56235,FALSE,FALSE
1837,renault kwid,2018,petrol,33696,329199,new delhi,1284,hatchback,manual,rxt,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,renault,kwid,in_stock,1,314197,,great,2021,TRUE,7646,49380,FALSE,FALSE
1838,honda brio,2015,petrol,71317,271199,new delhi,1142,hatchback,manual,1.2 s mt i vtec,TRUE,new delhi,delhi,TRUE,dl7c,inperson_sale,honda,brio,in_stock,3,280619,362691,great,2021,TRUE,6299,40680,FALSE,FALSE
1839,maruti vitara brezza,2019,diesel,15424,807899,new delhi,2056,suv,manual,vdi,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,vitara brezza,in_stock,1,838398,844898,great,2021,TRUE,18765,121185,FALSE,FALSE
1840,maruti swift dzire,2014,petrol,68299,380699,new delhi,782,sedan,manual,vxi 1.2 bs iv,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,maruti,swift dzire,in_stock,1,379948,381599,great,2021,TRUE,8843,57105,FALSE,FALSE
1841,maruti swift,2016,diesel,72302,431999,new delhi,741,hatchback,manual,vdi abs,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,swift,in_stock,1,408729,,great,2021,TRUE,10034,64800,FALSE,FALSE
1842,renault kwid,2017,petrol,32036,296299,new delhi,1228,hatchback,manual,1.0 rxl,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,renault,kwid,in_stock,1,264000,342420,good,2020,TRUE,6882,44445,FALSE,FALSE
1843,maruti swift dzire,2013,diesel,72772,289799,new delhi,918,sedan,manual,ldi bs iv,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,swift dzire,in_stock,1,290797,297297,great,2021,TRUE,6731,43470,FALSE,FALSE
1844,maruti ciaz,2016,diesel,47603,529699,new delhi,894,sedan,,vdi (o) shvs hybird,TRUE,delhi,delhi,TRUE,dl14,inperson_sale,maruti,ciaz,,1,484600,604220,great,2021,TRUE,12304,79455,FALSE,FALSE
1845,maruti vitara brezza,2016,diesel,58078,689499,new delhi,779,suv,manual,zdi,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,maruti,vitara brezza,in_stock,1,706924,713424,great,2021,TRUE,16015,103425,FALSE,FALSE
1846,maruti alto 800,2018,petrol,48375,279899,new delhi,885,hatchback,manual,lxi,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,maruti,alto 800,in_stock,1,269190,,great,2021,TRUE,6501,41985,FALSE,FALSE
1847,maruti alto,2010,petrol,70239,152499,new delhi,1289,hatchback,manual,lxi,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,alto,in_stock,1,137930,188025,great,2021,TRUE,3542,22875,FALSE,FALSE
1848,honda amaze,2015,petrol,62045,449799,new delhi,1052,sedan,manual,1.2 smt i vtec,TRUE,new delhi,delhi,TRUE,dl1c,inperson_sale,honda,amaze,in_stock,1,471349,472849,great,2021,TRUE,10448,67470,FALSE,FALSE
1849,honda city,2014,diesel,69029,433699,new delhi,2974,sedan,manual,s mt diesel,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,honda,city,in_stock,1,431000,539900,great,2020,TRUE,10074,65055,FALSE,FALSE
1850,honda amaze,2014,diesel,71704,365199,new delhi,940,sedan,manual,1.5 smt i dtec,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,honda,amaze,in_stock,1,331000,,great,2021,TRUE,8483,54780,FALSE,FALSE
1851,maruti wagon r 1.0,2014,petrol,53232,293199,new delhi,602,hatchback,manual,lxi,TRUE,delhi,delhi,TRUE,dl12,inperson_sale,maruti,wagon r 1.0,in_stock,1,259791,337265,good,2021,TRUE,6810,43980,FALSE,FALSE
1852,maruti swift,2012,diesel,84352,326799,new delhi,575,hatchback,manual,zdi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift,in_stock,1,332393,338893,great,2021,TRUE,7591,49020,FALSE,FALSE
1853,maruti swift dzire,2015,diesel,75571,412799,new delhi,1226,sedan,manual,vdi bs iv,TRUE,new delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift dzire,in_stock,2,383000,,great,2021,TRUE,9588,61920,FALSE,FALSE
1854,honda city,2010,petrol,87755,323799,new delhi,531,sedan,manual,s mt petrol,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,honda,city,in_stock,2,316751,,great,2021,TRUE,7521,48570,FALSE,FALSE
1855,maruti eeco,2017,petrol & cng,40514,304599,new delhi,1810,suv,manual,7 str,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,maruti,eeco,in_stock,2,281343,350130,great,2021,TRUE,7075,45690,FALSE,FALSE
1856,hyundai i10,2011,petrol,66492,258999,new delhi,393,hatchback,manual,magna 1.1 irde2,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,hyundai,i10,in_stock,1,210160,269599,good,2021,TRUE,6016,38850,FALSE,FALSE
1857,maruti swift dzire,2012,diesel,79776,347799,new delhi,413,sedan,manual,vdi bs iv,TRUE,new delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift dzire,in_stock,1,330171,,great,2021,TRUE,8078,52170,FALSE,FALSE
1858,renault duster,2013,diesel,68742,411099,new delhi,1656,suv,manual,85 ps rxl,TRUE,delhi,delhi,TRUE,dl13,inperson_sale,renault,duster,in_stock,1,371006,472966,good,2021,TRUE,9549,61665,FALSE,FALSE
1859,maruti zen estilo,2008,petrol,77954,131999,new delhi,2014,hatchback,manual,lxi,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,maruti,zen estilo,in_stock,2,104848,147668,good,2021,TRUE,3066,19800,FALSE,FALSE
1860,maruti swift dzire,2014,diesel,66906,391899,new delhi,68,sedan,manual,vdi bs iv,TRUE,delhi,delhi,TRUE,dl14,inperson_sale,maruti,swift dzire,in_stock,2,336664,398599,great,2021,TRUE,9103,58785,FALSE,FALSE
1861,maruti ritz,2012,diesel,80575,239199,new delhi,691,hatchback,manual,vdi,TRUE,delhi,delhi,TRUE,dl1c,inperson_sale,maruti,ritz,in_stock,2,214000,276420,great,2020,TRUE,5556,35880,FALSE,FALSE
1862,hyundai elite i20,2015,diesel,78343,458499,new delhi,776,hatchback,manual,magna 1.4 crdi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,hyundai,elite i20,in_transit,1,455312,569072,great,2021,TRUE,10650,68775,FALSE,FALSE
1863,maruti swift,2015,diesel,82293,393199,new delhi,956,hatchback,manual,vdi abs,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,swift,in_stock,2,404165,410665,great,2021,TRUE,9133,58980,FALSE,FALSE
1864,honda city,2010,petrol,76740,318599,new delhi,772,sedan,manual,s mt petrol,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,honda,city,in_stock,3,290989,,great,2021,TRUE,7400,47790,FALSE,FALSE
1865,maruti swift,2015,diesel,72533,440799,new delhi,385,hatchback,manual,vdi abs,TRUE,delhi,delhi,TRUE,dl2c,inperson_sale,maruti,swift,in_stock,2,430000,,great,2021,TRUE,10239,66120,FALSE,FALSE
1866,maruti alto,2008,petrol,83258,140999,new delhi,638,hatchback,manual,lxi,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,maruti,alto,in_stock,1,119369,,good,2021,TRUE,3275,21150,FALSE,FALSE
1867,maruti alto,2008,petrol,81636,124999,new delhi,1460,hatchback,manual,lxi,TRUE,delhi,delhi,TRUE,dl3c,inperson_sale,maruti,alto,in_stock,1,100874,141694,good,2021,TRUE,2903,18750,FALSE,FALSE
1868,maruti zen estilo,2010,petrol,54844,183099,new delhi,687,hatchback,manual,lxi,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,maruti,zen estilo,in_stock,2,151951,,good,2021,TRUE,4253,27465,FALSE,FALSE
1869,maruti celerio,2016,petrol,72059,358899,new delhi,844,hatchback,manual,zxi,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,maruti,celerio,in_stock,1,321629,,great,2021,TRUE,8336,53835,FALSE,FALSE
1870,hyundai elite i20,2014,diesel,72907,458099,new delhi,1737,hatchback,manual,asta 1.4 crdi,TRUE,delhi,delhi,TRUE,dl14,inperson_sale,hyundai,elite i20,in_stock,1,450000,,great,2021,TRUE,10640,68715,FALSE,FALSE
1871,honda brio,2013,petrol,71184,289699,new delhi,2315,hatchback,manual,1.2 e mt i vtec,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,honda,brio,in_stock,2,268045,334305,great,2021,TRUE,6729,43455,FALSE,FALSE
1872,hyundai creta,2016,diesel,59001,791599,new delhi,3744,suv,automatic,1.6 crdi sx plus auto,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,hyundai,creta,in_stock,1,842472,848972,great,2021,TRUE,18387,118740,FALSE,FALSE
1873,toyota etios,2012,diesel,80949,275599,new delhi,1823,sedan,manual,gd,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,toyota,etios,in_stock,1,252517,328407,great,2020,TRUE,6401,41340,FALSE,FALSE
1874,renault duster,2014,diesel,67522,409499,new delhi,962,suv,manual,85 ps rxl,TRUE,delhi,delhi,TRUE,dl7c,inperson_sale,renault,duster,in_transit,2,351919,449677,good,2021,TRUE,9512,61425,FALSE,FALSE
1875,skoda rapid,2013,diesel,65866,370299,new delhi,2869,sedan,manual,elegance 1.6 tdi mt,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,skoda,rapid,in_stock,1,326127,419209,good,2021,TRUE,8601,55545,FALSE,FALSE
1876,hyundai creta,2016,diesel,45574,750899,new delhi,4172,suv,,1.4 e plus crdi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,hyundai,creta,in_stock,1,701330,871370,great,2020,TRUE,17442,112635,FALSE,FALSE
1877,hyundai i20,2012,diesel,97289,275199,new delhi,2342,hatchback,manual,sportz 1.4 crdi,TRUE,delhi,delhi,TRUE,dl10,inperson_sale,hyundai,i20,in_stock,2,264719,,great,2021,TRUE,6392,41280,FALSE,FALSE
1878,hyundai venue,2019,petrol,16832,922899,new delhi,3017,suv,,1.0l turbo gdi sx mt,TRUE,delhi,delhi,TRUE,dl5c,inperson_sale,hyundai,venue,in_stock,1,948681,950181,great,2021,TRUE,21437,138435,FALSE,FALSE
1879,hyundai eon,2013,petrol,60032,229399,new delhi,264,hatchback,manual,d lite plus,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,hyundai,eon,in_transit,1,191491,255961,good,2021,TRUE,5328,34410,FALSE,FALSE
1880,maruti vitara brezza,2018,diesel,40769,736299,new delhi,762,suv,manual,vdi,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,maruti,vitara brezza,in_stock,1,745251,925071,great,2021,TRUE,17102,110445,FALSE,FALSE
1881,maruti swift dzire,2015,diesel,87852,380099,new delhi,1131,sedan,manual,ldi bs iv,TRUE,delhi,delhi,TRUE,dl5c,inperson_sale,maruti,swift dzire,in_stock,1,357500,451490,great,2021,TRUE,8829,57015,FALSE,FALSE
1882,ford figo,2011,petrol,82379,220999,new delhi,2821,hatchback,manual,1.2 titanium duratec,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,ford,figo,in_stock,1,200460,,good,2021,TRUE,5133,33150,FALSE,FALSE
1883,toyota innova,2015,diesel,45613,966899,new delhi,2361,suv,manual,2.5 gx 8 str bs iv,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,toyota,innova,in_stock,1,799000,,great,2020,TRUE,22459,145035,FALSE,TRUE
1884,toyota innova,2013,diesel,69047,620899,new delhi,2828,suv,manual,2.5 gx 7 str bs iv,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,toyota,innova,in_stock,1,646519,652519,great,2021,TRUE,14422,93135,FALSE,FALSE
1885,honda city,2011,petrol,86581,329999,new delhi,685,sedan,manual,s mt petrol,TRUE,delhi,delhi,TRUE,dl4c,inperson_sale,honda,city,in_stock,2,303909,,great,2021,TRUE,7665,49500,FALSE,FALSE
1886,maruti ritz,2010,petrol,114109,182099,new delhi,1601,hatchback,manual,vxi bs iv,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,maruti,ritz,in_stock,1,170600,228370,great,2020,TRUE,4230,27315,FALSE,FALSE
1887,maruti vitara brezza,2019,diesel,38213,785999,new delhi,2250,suv,manual,vdi,TRUE,delhi,delhi,TRUE,dl9c,inperson_sale,maruti,vitara brezza,in_stock,1,820537,827037,great,2021,TRUE,18257,117900,FALSE,FALSE
1888,maruti swift,2012,diesel,80936,312699,new delhi,711,hatchback,manual,zdi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift,in_stock,1,307700,395734,great,2020,TRUE,7263,46905,FALSE,FALSE
1889,maruti alto 800,2017,petrol & cng,115676,279999,new delhi,2260,hatchback,manual,lxi cng,TRUE,delhi,delhi,TRUE,dl5c,inperson_sale,maruti,alto 800,in_stock,1,240700,308994,great,2020,TRUE,6504,42000,FALSE,FALSE
1890,maruti vitara brezza,2016,diesel,67345,612299,new delhi,928,suv,manual,vdi,TRUE,new delhi,delhi,TRUE,dl3c,inperson_sale,maruti,vitara brezza,in_stock,1,607409,613909,great,2021,TRUE,14222,91845,FALSE,FALSE
1891,maruti ciaz,2017,diesel,60966,602499,new delhi,1485,sedan,manual,vdi+ shvs,TRUE,ghaziabad,uttar pradesh,TRUE,up14,inperson_sale,maruti,ciaz,in_stock,1,587000,735180,great,2021,TRUE,13995,90375,FALSE,FALSE
1892,honda jazz,2009,petrol,75136,218299,new delhi,852,hatchback,manual,1.2 base i vtec,FALSE,faridabad,haryana,TRUE,hr51,inperson_sale,honda,jazz,in_stock,2,196437,248301,good,2021,TRUE,5071,32745,FALSE,FALSE
1893,maruti swift dzire,2012,petrol,86270,304199,new delhi,413,sedan,manual,vxi 1.2 bs iv,TRUE,faridabad,haryana,TRUE,hr51,inperson_sale,maruti,swift dzire,in_stock,1,277960,304499,great,2021,TRUE,7066,45630,FALSE,FALSE
1894,hyundai creta,2018,diesel,65305,1281789,new delhi,1675,suv,automatic,1.6 crdi sx plus auto,TRUE,noida,uttar pradesh,TRUE,up16,inperson_sale,hyundai,creta,in_stock,1,1323774,1597540,great,2021,TRUE,29773,192269,FALSE,FALSE
1895,maruti swift dzire,2013,diesel,76300,356699,new delhi,397,sedan,manual,vdi bs iv,TRUE,gurgaon,haryana,TRUE,hr26,inperson_sale,maruti,swift dzire,in_stock,1,349015,445635,great,2021,TRUE,8285,53505,FALSE,FALSE
1896,maruti swift dzire,2013,diesel,79116,374899,new delhi,578,sedan,manual,vdi,TRUE,delhi,delhi,TRUE,dl8c,inperson_sale,maruti,swift dzire,in_stock,1,350376,,great,2021,TRUE,8708,56235,FALSE,FALSE
